survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,name_th,name_en,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C006,98.35394598,7.893665646,158.8,12.6,ปาล์มใบพัด,Fan palm,Licuala spinosa Thunb.,ปาล์มใบพัด,กลุ่มปาล์ม,50.53,0,0,0,122.02,50.03,172.05,71.06,260.54,0.26
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C007,98.353665,7.893493585,30,3,ปาล์มหางหมาจิ้งจอก,Foxtail Palm,Wodyetia bifurcata A.K.Irvine,ปาล์มหางหมาจิ้งจอก หางหมาป่า,กลุ่มปาล์ม,9.55,0,0,0,31.07,12.74,43.81,18.09,66.35,0.07
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C008,98.35371347,7.893345449,58,6.8,สนประดิพัทธ์,Sea pine,Casuarina equisetifolia L.,สนทะเล,ป่าเบญจพรรณ,18.45,54.4,9.95,2.17,66.53,17.96,84.5,41.41,151.84,0.15
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C009,98.35346423,7.89303282,54.6,6.9,อินทนิล,Queen’s flower,Lagerstroemia speciosa,อินทนิลน้ำ,ป่าดิบชื้น,17.37,49.27,15.37,3.3,67.93,18.34,86.28,41.47,152.07,0.15
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C010,98.35256045,7.893118265,92,8.5,ตะเคียน,Iron wood,Hopea odorata Roxb.,ตะเคียนทอง,ป่าดิบชื้น,29.27,158.39,55.59,9.16,223.14,60.25,283.39,136.22,499.49,0.5
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C011,98.35230206,7.892901897,84.8,6.2,ปาล์มหางหมาจิ้งจอก,Foxtail Palm,Wodyetia bifurcata A.K.Irvine,ปาล์มหางหมาจิ้งจอก หางหมาป่า,กลุ่มปาล์ม,26.98,0,0,0,64.94,26.62,91.56,37.81,138.65,0.14
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C012,98.35174986,7.89318331,104,11.5,ประดู่,Burmese padauk,Pterocarpus macrocarpus,ประดู่,ป่าเบญจพรรณ,33.09,263.91,56.66,8.9,329.47,88.96,418.43,205.07,751.94,0.75
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C013,98.35174634,7.89337611,89,9.4,จำปา,Champak,Magnolia champaca,จำปาทอง,ป่าดิบชื้น,28.32,163.54,57.59,9.4,230.52,62.24,292.77,140.73,516.02,0.52
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C014,98.35144915,7.894090962,76.8,7.1,หูกระจง,Black olive,Terminalia ivorensis,หูกระจง,ป่าดิบชื้น,24.44,95.62,31.89,6.02,133.53,36.05,169.58,81.52,298.89,0.3
17/3/2026,นายสรศักดิ์ พันธุ์กา,C,C : อาคารเรียน,C015,98.35165905,7.894467447,91,8.5,หูกระจง,Black olive,Terminalia ivorensis,หูกระจง,ป่าดิบชื้น,28.95,155.19,54.36,9.02,218.56,59.01,277.58,133.43,489.25,0.49
3/17/2026,นางสาวภิญญาดา หอมจันทร์,C,C : อาคารเรียน,C016,98.353482,7.894642,71,5.7,ปาล์มหางหมาจิ้งจอก,Foxtail Palm,Wodyetia bifurcata A.K.Irvine,ปาล์มหางหมาจิ้งจอก หางหมาป่า,กลุ่มปาล์ม,22.59,0,0,0,59.96,24.58,84.55,34.92,128.03,0.13
3/17/2026,นาย ปรเมศวร์ นุ่มศึก,C,C : อาคารเรียน,C017,98.353648,7.894401,80,10.5,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,25.45,148.62,51.83,8.71,209.16,56.47,265.64,127.69,468.21,0.47
3/17/2026,นางสาวญาณิศา ทองจีน,C,C : อาคารเรียน,C018,98.35361,7.894622,98,6.6,ปีบ,Indian cork tree,Millingtonia hortensis,กาสะลอง,ป่าเบญจพรรณ,31.18,140.74,28.35,5.25,174.34,47.07,221.42,108.52,397.89,0.4
3/17/2026,นางสาวญาณิศา ทองจีน,C,C : อาคารเรียน,C019,98.353568,7.894698,103,5.9,สาละลังกา,Cannonball tree,Couroupita guianensis Aubl.,ลูกปืนใหญ่,ป่าดิบชื้น,32.77,139.1,48.18,8.26,195.54,52.8,248.34,119.37,437.71,0.44
3/17/2026,นางสาวญาณิศา ทองจีน,C,C : อาคารเรียน,C020,98.353518,7.894554,87,5.2,ตีนเป็ด,Devil Tree,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,27.68,90.24,29.92,5.72,125.89,33.99,159.88,76.85,281.79,0.28
3/17/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,C,C : อาคารเรียน,C021,98.353629,7.893353,126,6.4,ปาล์มใบพัด,Fan palm,Licuala spinosa Thunb.,ปาล์มใบพัด,กลุ่มปาล์ม,40.09,0,0,0,66.9,27.43,94.33,38.96,142.84,0.14
3/17/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,C,C : อาคารเรียน,C022,98.353885,7.894458,120,6.6,มั่งมี,"Ti plant , Good luck plant",Cordyline fruticosa (L.) A.Chev.,หมากผู้หมากเมีย,ป่าดิบชื้น,38.18,205.34,73.99,11.18,290.51,78.44,368.95,177.36,650.3,0.65
3/21/2569,นางสาวญาณิศา ทองจีน,C,C : อาคารเรียน,C023,98.353712,7.894556,58.2,7.6,หูกวาง,Tropical almond,Terminalia catappa,หูกวาง,ป่าเบญจพรรณ,18.52,60.74,11.24,2.42,74.39,20.09,94.48,46.3,169.78,0.17
3/17/2026,นางสาวภิญญาดา หอมจันทร์,C,C : อาคารเรียน,C024,98.353582,7.894499,57,6.6,มะม่วง,Mango,Mangifera indica,มะม่วง,ป่าดิบชื้น,18.14,51.22,16.04,3.42,70.67,19.08,89.76,43.15,158.2,0.16
3/17/2026,นางสาวญาณิศา ทองจีน,C,C : อาคารเรียน,C025,98.353585,7.894494,105,14.3,ตีนเป็ด,Devil Tree,Alstonia scholaris,พญาสัตบรรณ,ป่าดิบชื้น,33.41,329.21,124.43,15.46,469.1,126.66,595.76,286.38,1050.06,1.05
3/21/2569,นางสาวญาณิศา ทองจีน,C,C : อาคารเรียน,C026,98.352861,7.895189,163,6.7,หางนกยูงฝรั่ง,Royal Poinciana,Delonix regia,หางนกยูง,ป่าเบญจพรรณ,51.86,368.68,81.88,11.48,462.04,124.75,586.79,287.58,1054.47,1.05
3/17/2569,นาย เศรษฐพงศ์ บัวสวัสดิ์,C,C : อาคารเรียน,C027,98.353286,7.892967,30,4.2,มันปู,Siamese rough bush,Schoutenia glomerata King,มันปู,ป่าดิบชื้น,9.55,10.15,2.7,0.7,13.55,3.66,17.21,8.27,30.33,0.03
3/17/2026,นาย ปรเมศวร์ นุ่มศึก,C,C : อาคารเรียน,C028,98.353712,7.894556,61.5,5.9,ยางนา,"Yang-na, Resin tree",Dipterocarpus alatus Roxb.,ยางนา,ป่าดิบชื้น,19.57,53.16,16.71,3.54,73.41,19.82,93.22,44.81,164.31,0.16
3/17/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,C,C : อาคารเรียน,C029,98.353355,7.893054,38.8,5.7,ศรีตรัง,Jacaranda,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,12.35,21.8,6.26,1.5,29.56,7.98,37.55,18.05,66.18,0.07
3/17/2026,นาย เศรษฐพงศ์ บัวสวัสดิ์,C,C : อาคารเรียน,C030,98.353714,7.89323,103,5.1,ติ้วขาว,Ceylon ironwood,Cratoxylum formosum (Jack) Dyer,"ติ้ว , แต้ว",ป่าเบญจพรรณ,32.77,121.43,24.1,4.6,150.12,40.53,190.66,93.44,342.62,0.34
3/17/2026,นางสาวภิญญาดา หอมจันทร์,C,C : อาคารเรียน,C031,98.353662,7.894484,132,12,มะม่วง,Mango,Mangifera indica,มะม่่วง,ป่าดิบชื้น,42,428.38,166.28,18.09,612.75,165.44,778.19,374.08,1371.61,1.37
3/17/2569,นาย เศรษฐพงศ์ บัวสวัสดิ์,C,C : อาคารเรียน,C032,98.353097,7.893036,86,11.8,ยางนา,"Yang-na, Resin tree",Dipterocarpus alatus Roxb.,ยางนา,ป่าดิบชื้น,27.36,189.65,67.79,10.54,267.97,72.35,340.32,163.59,599.84,0.6
3/21/2569,นางสาวญาณิศา ทองจีน,C,C : อาคารเรียน,C033,98.352443,7.894843,150.2,14.7,มะม่วง,Mango,Mangifera indica,มะม่วง,ป่าดิบชื้น,47.79,658.64,267.04,22.5,948.18,256.01,1204.19,578.86,2122.47,2.12
3/21/2569,นางสาวญาณิศา ทองจีน,C,C : อาคารเรียน,C034,98.352247,7.894392,86.4,11.5,จามจุรี,"Rain Tree , Monkey Pod",Samanea saman (Jacq.) Merr,ก้ามปู,ป่าเบญจพรรณ,27.49,186.76,38.72,6.7,232.18,62.69,294.86,144.51,529.88,0.53
3/17/2569,นาย เศรษฐพงศ์ บัวสวัสดิ์,C,C : อาคารเรียน,C035,98.352964,7.893117,146.4,8.9,หว้า,Java plum,Syzygium cumini (L.) Skeels,หว้า,ป่าดิบชื้น,46.58,393.24,151.32,17.23,561.79,151.68,713.47,342.96,1257.53,1.26
