survey_date,survey_name,zone_id,zone_name,tree_id,longitude,latitude,GBH,height,images_overall,images_leaves,images_flowers,images_fruits,name_th,name_en,species_id,scientific_name,local_name,type,DBH_cm,WS_kg,WB_kg,WL_kg,AGB_kg,BGB,TotalBiomass_kg,CarbonStock_kgC,Sequestration_kgCO2e,Sequestration_tCO2e
2026-03-26,นายสรศักดิ์ พันธุ์กา,B,B : สนามฟุตบอล,B007,98.35215389,7.89546664,155,8.2,https://drive.google.com/open?id=15tR2WpBvVSu4Mze6nZPEk-uGVrulGu0f,https://drive.google.com/open?id=1v6yBx2xauzyDC70X4ZAhUwbPmw8AO4we,,,แซะ,Siamese Rough Bush,SP038,Streblus asper,ข่อย,ป่าเบญจพรรณ,49.32,405.24,90.86,12.28,508.38,137.26,645.64,316.43,1160.25,1.16
2026-03-26,นายสรศักดิ์ พันธุ์กา,B,B : สนามฟุตบอล,B008,98.35233351,7.89542040,77,9.6,https://drive.google.com/open?id=1YSD56d2FnIkRwCxCsXq0qAR6_wOupeJU,https://drive.google.com/open?id=1D_wB-lvc4wSPXI2X5-MRQUeDPBTla3iX,,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,24.50,127.30,43.70,7.68,178.68,48.24,226.93,109.08,399.97,0.40
2026-03-26,นายสรศักดิ์ พันธุ์กา,B,B : สนามฟุตบอล,B009,98.35251910,7.89541714,67,9.7,https://drive.google.com/open?id=17WDtl09rItQ1xbUlajJ8A6AU5WaugiWM,https://drive.google.com/open?id=1T1Kxa-aaUEto6ZoIm-8ANcQXNUR8KamU,https://drive.google.com/open?id=1ch7uaGg-flJC1KzjP9wKXnrvk7CX-esT,,ศรีตรัง,Jacaranda,SP021,Jacaranda mimosifolia D.Don,แคทราย,ป่าดิบชื้น,21.32,99.16,33.19,6.21,138.56,37.41,175.98,84.59,310.17,0.31
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B010,98.35271893,7.89551002,157,10.6,https://drive.google.com/open?id=15jrpjol_Ymxalc12Ci4d-RBgsGUGjJOF,https://drive.google.com/open?id=1cRQALcvoZTWmsW8OX-kGBfrPQyOqqEAr,,,แซะ,Siamese Rough Bush,SP038,Streblus asper,ข่อย,ป่าเบญจพรรณ,49.95,527.32,121.43,14.67,663.42,179.12,842.55,412.93,1514.08,1.51
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B011,98.35295824,7.89551591,51,4.6,https://drive.google.com/open?id=1tNi2FnJLUOeczJm2ktd3_SvFbIzxOfJe,https://drive.google.com/open?id=1nunkchxl9unmWm_xe7I9KBllMyrsrXGN,,,แซะ,Siamese Rough Bush,SP038,Streblus asper,ข่อย,ป่าเบญจพรรณ,16.23,29.73,5.12,1.21,36.05,9.73,45.78,22.44,82.27,0.08
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B012,98.35331817,7.89558912,81,8.6,https://drive.google.com/open?id=1MRA42HJOKeUfoR-lwuajvEE3jYkFKc3-,https://drive.google.com/open?id=1NDloiVgGHPzR4BK_ihX4JZrmQIofGHrt,,,ปาล์มใบพัด,Fan Palm,SP016,Licuala spinosa Thunb.,ปาล์มใบพัด,กลุ่มปาล์ม,25.77,0.00,0.00,0.00,87.60,35.92,123.52,51.01,187.05,0.19
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B013,98.35316520,7.89574650,87,6,https://drive.google.com/open?id=1nKzO1Z84swJrHaBV4bmLuHdVO9vYk8yc,https://drive.google.com/open?id=1sGhQXKUT4g06LypMxoikcKEpdI45eG-X,,,แซะ,Siamese Rough Bush,SP038,Streblus asper,ข่อย,ป่าเบญจพรรณ,27.68,103.13,20.13,3.97,127.23,34.35,161.58,79.19,290.36,0.29
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B014,98.35327147,7.89589949,107,12.9,https://drive.google.com/open?id=1i7f9uYJX6aSVbmh55pQfq45Och8U0H7x,https://drive.google.com/open?id=1pa8fkmreDwNAdlqZAjFyWaI-xHMmcTNF,,,ตะเคียน,Iron Wood,SP020,Hopea odorata Roxb.,ตะเคียนทอง,ป่าดิบชื้น,34.05,309.76,116.36,14.87,440.99,119.07,560.06,269.22,987.14,0.99
2026-03-26,นางสาววรรณชนก อมิตรสูญ,B,B : สนามฟุตบอล,B015,98.35320649,7.89598181,98,11.2,https://drive.google.com/open?id=1D7ZKuFbwSkNh3j68YOV4WFnaVhgvZm3o,https://drive.google.com/open?id=1KXqxS2mNn48KquQdYjX1TH9gfIIuRy3z,,,ตะเคียน,Iron Wood,SP020,Hopea odorata Roxb.,ตะเคียนทอง,ป่าดิบชื้น,31.18,230.47,84.02,12.16,326.65,88.20,414.85,199.42,731.20,0.73
2026-03-30,นางสาวภิญญาดา หอมจันทร์,B,B : สนามฟุตบอล,B016,98.35178400,7.89603600,37,5.8,https://drive.google.com/open?id=1RxHW_r3YUTz2KvVUNA5bUR95JdO3n9Yf,https://drive.google.com/open?id=1Cfi85Q9FFpEguxEc0eFpRZAagVmd1byc,,,มะค่าโมง,Black Rosewood,SP030,Afzelia xylocarpa ( Kurz) Craib,"มะค่าใหญ่ , มะค่าหลวง",ป่าเบญจพรรณ,11.77,20.28,3.36,0.83,24.46,6.61,31.07,15.23,55.83,0.06
